certification_course,gender,department,height_cm,weight_kg,10th_mark,12th_mark,college_mark,daily_studing_time,prefer_to_study_in,salary_expectation,do_you_like_your_degree,willingness_to_pursue_a_career_based_on_their_degree,social_medai_video,travelling_time,stress_level,financial_status,part_time_job,bmi,academic_average
1,Male,BCA,0.5093333333333333,0.4651162790697675,88.0,70.0,70.0,30 - 60 minute,Anytime,6.0,0,50%,30 - 60 Minute,,,Awful,0,0.0024477067769874106,0.6845809341010876
0,Female,BCA,0.8026666666666666,0.37209302325581395,7.4,79.0,75.0,1 - 2 Hour,Night,6.0,1,75%,1.30 - 2 hour,,,Bad,0,0.0005975798484414284,0.2584772872680743
1,Female,BCA,0.8079999999999999,0.4418604651162791,75.0,70.0,70.0,More Than 4 hour,Anytime,6.0,1,75%,More than 2 hour,,,good,0,0.0007031624373858689,0.6014075495841331
1,Male,BCA,0.5413333333333333,0.5116279069767442,80.0,70.0,75.0,0 - 30 minute,Morning,6.0,1,75%,1 - 1.30 hour,,,Bad,0,0.002301058922791899,0.6653870761356366
1,Male,BCA,0.8826666666666666,0.5465116279069767,81.4,69.0,75.0,30 - 60 minute,Anytime,6.0,0,100%,1.30 - 2 hour,,,Awful,1,0.0006718277988789212,0.6679462571976968
1,Male,BCA,0.8879999999999999,0.4651162790697675,78.0,55.0,70.0,3 - 4 hour,Anytime,6.0,1,100%,30 - 60 Minute,,,good,1,0.0005433152071618013,0.524632117722329
0,Male,BCA,0.9199999999999999,0.6395348837209303,60.0,60.0,50.0,30 - 60 minute,Morning,6.0,1,75%,1 - 1.30 hour,,,Bad,0,0.0007082984123573325,0.31349968010236706
1,Female,BCA,0.8826666666666666,0.2906976744186047,75.0,64.0,74.0,0 - 30 minute,Anytime,6.0,0,25%,More than 2 hour,,,good,0,0.0003046347770895719,0.5886116442738323
1,Female,BCA,0.9359999999999999,0.6395348837209303,90.2,61.6,85.0,1 - 2 Hour,Anytime,6.0,1,75%,More than 2 hour,,,good,0,0.0006701278311854518,0.7408829174664107
1,Male,BCA,0.9039999999999999,0.39534883720930236,80.0,62.0,75.0,30 - 60 minute,Night,6.0,1,75%,30 - 60 Minute,,,Awful,0,0.00041388770028438147,0.6142034548944337
0,Male,BCA,0.8933333333333333,0.4186046511627908,86.5,65.3,79.5,0 - 30 minute,Morning,6.0,1,75%,More than 2 hour,,,good,0,0.0004666210786778968,0.7056941778630839
1,Female,BCA,0.7919999999999999,0.34883720930232565,88.8,71.0,85.0,3 - 4 hour,Morning,6.0,1,100%,1 - 1.30 hour,,,good,0,0.0005838415921987571,0.7920665387076136
1,Male,BCA,0.8186666666666667,0.6395348837209303,90.0,75.0,70.0,2 - 3 hour,Night,6.0,1,50%,1.30 - 2 hour,,,good,0,0.0010027192512973315,0.7293666026871399
0,Male,BCA,0.9199999999999999,0.5813953488372093,85.0,61.0,75.0,2 - 3 hour,Anytime,6.0,1,50%,30 - 60 Minute,,,good,0,0.0006313157276409344,0.6397952655150352
