branch,marks_10th,marks_12th,gender,board10th,board12th,category,rank,normalized_rank,cgpa,current_back,ever_back,olympiads_qualified,technical_projects,tech_quiz,engg_coaching,ntse_scholarships,miscellany_tech_events,average_gpa,engagement_score,gpa_cgpa_ratio,academic_performance_index,total_backlogs
ece,0.9347319347319348,0.6045340050377834,male,cbse,cbse,gen,30324,0.3363925488414357,0.4134615384615385,0,0,0,0,0,0,0,0,0.0234205792738886,0.0,0.0229288312822998,0.2943420118163645,0
ece,0.3939393939393938,0.4987405541561711,male,"bihar school examination board, patna","bihar school examination board, patna",obc,45548,0.6130667878237166,0.5705128205128205,0,0,1,1,1,1,0,0,0.0335523659190191,0.4285714285714285,0.0180014657441999,0.408406879561594,0
ece,0.9627039627039626,0.6498740554156173,female,icse,cbse,gen,29045,0.3131485688323489,0.6762820512820513,0,0,1,1,1,1,1,0,0.0404904372086193,0.2571428571428571,0.0111973988822446,0.4853042807368726,0
ece,0.8787878787878789,0.7808564231738033,male,cbse,"boar of intermediate education, a.p.",gen,15349,0.0642435256701499,0.7724358974358976,0,0,1,1,1,1,1,1,0.0461803898535295,0.4571428571428571,0.0151308224455169,0.5547897826554123,0
ece,0.8741258741258742,0.5642317380352646,male,cbse,cbse,gen,22640,0.1967469332121763,0.3846153846153848,0,1,1,1,1,1,0,1,0.0191990015050842,0.6571428571428571,0.0315112463484951,0.2717807174059581,1
ece,0.8181818181818183,0.6851385390428211,male,cbse,cbse,gen,23000,0.2032894139027714,0.5615384615384615,0,0,1,1,1,1,0,1,0.0334789471752138,0.3142857142857143,0.0175582357786783,0.4022338048785068,0
ece,0.7925407925407928,0.8916876574307306,male,board of secondary education,board of intermediate education andhra pradesh,gen,15206,0.0616447069513857,0.7307692307692306,0,0,1,1,1,1,0,1,0.0398296685143717,0.6285714285714286,0.0160380874880637,0.5220287078942975,0
ece,0.337995337995338,0.1158690176322418,male,state board,state board,gen,25769,0.2536119945479326,0.2051282051282055,0,2,1,1,1,1,0,1,0.0110201534451745,0.6285714285714286,0.0138971560213463,0.1437408340652436,2
ece,0.7995337995337994,0.8564231738035264,female,state board of andhra pradesh,state board of andhra pradesh,gen,20280,0.15385733757383,0.3878205128205125,0,0,1,1,1,1,1,1,0.0200433170588451,0.6571428571428571,0.018764804487544,0.274543552604528,0
ece,0.3473193473193472,0.332493702770781,female,b.s.e.b(patna),b.s.e.b(h.s.patna),obc,33190,0.3884779645615629,0.1099358974358974,0,5,1,0,1,1,1,1,0.0082963180499981,0.2571428571428571,0.0159863309664493,0.0769350743762749,5
ece,0.3752913752913751,0.2871536523929472,male,cbse,cbse,sc,67894,1.0,0.2051282051282055,0,0,1,1,1,1,0,1,0.0140963988106163,0.3999999999999999,0.0119209115905303,0.1458396800996957,0
ece,0.3426573426573427,0.2267002518891687,male,bseb,cbse,gen,23040,0.2040163562017264,0.5352564102564104,0,0,1,1,0,1,0,1,0.0313130942329576,0.2285714285714285,0.0204487413399311,0.3828245042939662,0
ece,0.4498834498834498,0.3727959697732996,male,b.s.e.b,b.s.e.b,obc,40092,0.5139118582462519,0.3589743589743588,0,0,1,1,1,1,0,1,0.0227231012077383,0.4857142857142857,0.0129695598105858,0.2566908865291694,0
ece,0.9673659673659674,0.7506297229219141,female,cbse,cbse,gen,30271,0.3354293502953203,0.9935897435897438,0,0,1,1,1,1,0,1,0.060680591755075,0.3142857142857143,0.0160380874880637,0.7155707040409225,0
ece,0.8209790209790211,0.4037783375314863,male,maharashtra state board,maharashtra state board,sc,67894,1.0,0.237179487179487,0,0,1,1,1,1,0,0,0.0136191769758819,0.2571428571428571,0.0218775326285171,0.1673818795033943,0
ece,0.86013986013986,0.5088161209068012,male,cbse,cbse,gen,28419,0.3017719218537028,0.5096153846153848,0,0,1,1,1,1,1,1,0.0281193788774274,0.3428571428571428,0.0250974135938138,0.3631512745591261,0
ece,0.9044289044289044,0.7329974811083126,male,"board of secondary education,andhra pradesh","board of intermediate education,andhra pradesh",sc,67894,1.0,0.0993589743589744,0,6,1,1,1,1,1,1,0.007158327521016,0.5142857142857142,0.0155177719253609,0.0689422789244169,6
ece,0.7575757575757578,0.261964735516373,male,c.b.s.e,c.b.s.e,gen,26014,0.2580645161290322,0.2147435897435896,0,0,1,1,1,1,0,1,0.011581806835285,0.5714285714285714,0.0250545147047624,0.1506843750780174,0
ece,0.9860139860139864,0.5843828715365242,male,cbse,cbse,gen,18639,0.1240345297592003,0.3589743589743588,0,0,1,1,1,1,1,1,0.0232003230424727,0.6285714285714286,0.0088270474459906,0.2570164831693588,0
ece,0.7342657342657344,0.4735516372795969,male,c.b.s.e,c.b.s.e,obc,41549,0.5403907314856884,0.1955128205128204,0,1,1,1,1,0,1,1,0.0108659740831834,0.2571428571428571,0.0201742365464152,0.1370753024914002,1
ece,0.5337995337995336,0.0831234256926953,male,cbse,bseb,gen,25977,0.2573920945024989,0.2948717948717949,0,1,1,1,1,1,0,1,0.0162714290958481,0.4857142857142857,0.0244081491279641,0.2085534783249851,1
ece,0.7296037296037297,0.332493702770781,male,cbse,cbse,obc,37034,0.4583371194911405,0.4871794871794874,0,0,1,1,1,1,0,1,0.0288902756873829,0.3999999999999999,0.0176347971056839,0.3483697811317872,0
ece,0.8927738927738931,0.7607052896725441,male,cbse,cbse,gen,27151,0.2787278509768286,0.6153846153846152,0,0,1,1,1,1,1,1,0.0383980030101684,0.7142857142857143,0.012870283915138,0.4423278522157307,0
ece,0.6643356643356644,0.5566750629722925,male,bseb,bseb,obc,26958,0.2752203543843708,0.5576923076923077,0,0,1,1,1,1,1,1,0.0318270254395947,0.3999999999999999,0.0185756474182083,0.3984826040602767,0
ece,0.6689976689976691,0.2821158690176324,male,cbse,bihar school examination board,gen,26527,0.2673875511131305,0.2596153846153848,0,0,0,0,0,0,0,1,0.016409089240483,0.1428571428571428,0.0150749996655945,0.1845928247844549,0
ece,0.8321678321678325,0.518891687657431,female,cbse,cbse,obc,42106,0.550513402998637,0.3365384615384619,0,0,1,1,1,1,0,0,0.0309092911420285,0.3428571428571428,0.014023455575498,0.246968663972467,0
ece,0.6177156177156178,0.5088161209068012,female,cbse,cbse,gen,31059,0.3497501135847342,0.691346153846154,0,0,1,1,1,1,0,1,0.0402334716053008,0.5714285714285714,0.0073890440479222,0.495406823609706,0
