branch,marks10th,marks12th,gender,board10th,board12th,category,gpa_1,rank,normalized_rank,cgpa,current_back,ever_back,gpa_2,gpa_3,gpa_4,gpa_5,gpa_6,olympiads_qualified,technical_projects,tech_quiz,engg_coaching,ntse_scholarships,miscellany_tech_events,average_gpa,engagement_score,gpa_cgpa_ratio,academic_performance_index,total_backlogs
cse,0.7645687645687649,0.9017632241813602,male,"board of secondary education,andhra pradesh","board of intermediate education,andhra pradesh",gen,0.01290977661734842,19925.0,0.1474057246706043,0.3589743589743588,0.0,0.0,0.01438522107813446,0.030166880616174577,0.02397058823529412,0.02460732984293193,0.6552380952380952,1,1,1,1,0,0,0.0231269042986674,0.17142857142857143,0.01036131128472964,0.2569663913785604,0.0
cse,0.9393939393939394,0.8614609571788414,female,icse,isc,gen,0.04279083260806499,36742.0,0.45303044070876874,0.9807692307692306,0.0,0.0,0.04724409448818899,0.0680359435173299,0.05161764705882352,0.04829842931937171,0.9523809523809523,1,1,1,1,0,0,0.05902867001945594,0.42857142857142855,0.013032916687855195,0.7056965203304033,0.0
cse,0.7529137529137531,0.8362720403022672,male,rajasthan board,central board,gen,0.03423266608645198,27592.0,0.28674238982280786,0.628205128205128,0.0,0.0,0.029527559055118113,0.03770860077021823,0.03779411764705881,0.03599476439790575,0.7142857142857144,1,1,1,1,0,0,0.03630556881171762,0.19999999999999998,0.019600858936494145,0.44964735459553223,0.0
cse,0.8834498834498836,0.7858942065491183,female,cbse,cbse,gen,0.041050188569770815,25422.0,0.24730577010449795,0.8621794871794874,0.0,0.0,0.043761356753482736,0.06322207958921695,0.04382352941176469,0.04502617801047119,0.8219047619047619,1,0,1,1,0,0,0.05170515032487791,0.2571428571428571,0.016038087488063707,0.6197890188358781,0.0
cse,0.7645687645687649,0.6221662468513853,male,cbse,cbse,gen,0.025674499564839,45479.0,0.6118128123580191,0.4935897435897434,0.0,0.0,0.026801938219261065,0.03209242618741977,0.02397058823529412,0.028141361256544498,0.6314285714285715,1,1,1,1,1,0,0.02710987115010463,0.5714285714285714,0.017340974441444446,0.3515286144137039,0.0
cse,0.8461538461538463,0.7355163727959699,male,icse,icse,gen,0.010733971569480708,23007.0,0.20341662880508865,0.04166666666666652,0.0,10.0,0.006662628709872803,0.021181001283697043,0.0,0.009162303664921462,0.2857142857142856,1,1,1,1,0,0,0.0017620498513270244,0.42857142857142855,0.024433029626596506,0.025898499421736727,10.0
cse,0.850815850815851,0.3929471032745595,male,cbse,cbse,gen,0.018856977081520163,24066.0,0.22266242616992282,0.29166666666666674,0.0,0.0,0.009842519685039366,0.01893453145057765,0.02308823529411763,0.02041884816753925,0.6076190476190475,1,1,1,1,1,0,0.017143276678536018,0.22857142857142856,0.019992027336796225,0.206961538736327,0.0
cse,0.8414918414918415,0.6851385390428211,male,c.b.s.e.,c.b.s.e.,gen,0.017116333043226004,18436.0,0.12034529759200369,0.32692307692307687,0.0,0.0,0.013476680799515445,0.023587933247753518,0.02308823529411763,0.02787958115183245,0.5466666666666666,1,0,1,1,0,0,0.020006607686942457,0.34285714285714286,0.016349374544362777,0.232969694225741,0.0
cse,0.49650349650349646,0.33249370277078105,female,cbse,bhopal,gen,0.0008703220191470934,21000.0,0.16694229895502044,0.19551282051282048,0.0,12.0,0.004542701393095094,0.0,0.0014705882352941124,0.013089005235602094,0.5123809523809524,1,1,0,1,0,0,0.002239271686061431,0.08571428571428572,0.004622316087013509,0.13118951707259074,12.0
cse,0.8088578088578089,0.7052896725440807,male,central board of secondary education,central board of secondary education,gen,0.02741514360313317,52153.0,0.7331031349386643,0.5641025641025641,0.0,2.0,0.028619018776499097,0.03867137355584081,0.03,0.03272251308900523,0.739047619047619,1,1,1,1,0,0,0.033919459638045574,0.42857142857142855,0.015897480018769367,0.4042837793068082,2.0
cse,0.46853146853146854,0.6448362720403027,male,cbse,cbse,obc,0.008558166521612995,48669.0,0.6697864606996821,0.17948717948717952,0.0,4.0,0.010751059963658383,0.024550706033376127,0.018823529411764697,0.01806282722513089,0.6323809523809523,1,1,0,1,0,0,0.01740024228185455,0.08571428571428572,0.014204095945843556,0.1305995738505118,4.0
cse,0.9067599067599068,0.8866498740554156,female,cbse,cbse,gen,0.033362344067304914,32430.0,0.3746660608814175,0.7339743589743588,0.0,0.0,0.02150211992731678,0.046213093709884454,0.04382352941176469,0.04424083769633508,0.8933333333333333,1,1,1,1,0,0,0.04357402444844169,0.19999999999999998,0.014328479210611755,0.5267701688294036,0.0
cse,0.8771561771561771,0.740554156171285,male,cbse,cbse,obc,0.029010733971569475,48830.0,0.6727124034529759,0.6314102564102566,0.0,0.0,0.03210175651120532,0.044448010269576385,0.04294117647058823,0.03193717277486911,0.6800000000000002,1,1,1,1,0,0,0.037957490547336714,0.34285714285714286,0.014532676387334076,0.45296119949288494,0.0
cse,0.4265734265734267,0.14105793450881632,male,cbse,nios,obc,0.0043516100957354115,67894.0,1.0,0.054487179487179516,0.0,10.0,0.0009085402786190161,0.022625160462130936,0.01617647058823528,0.0007853403141361154,0.3933333333333333,1,1,1,1,1,0,0.004460188686171554,0.3142857142857143,0.015860648737685668,0.036486491151132644,10.0
cse,0.8414918414918415,0.7959697732997484,female,cbse,cbse,gen,0.02581955323469684,22356.0,0.19158564288959568,0.5480769230769231,0.0,1.0,0.020593579648697763,0.046213093709884454,0.036029411764705865,0.03691099476439791,0.798095238095238,0,0,0,0,0,0,0.03751697808450494,0.0,0.015047368368015998,0.3958043790339846,1.0
