branch,marks10th,marks12th,gender,board10th,board12th,category,gpa_1,rank,normalized_rank,cgpa,current_back,ever_back,gpa_2,gpa_3,gpa_4,gpa_5,gpa_6,olympiads_qualified,technical_projects,tech_quiz,engg_coaching,ntse_scholarships,miscellany_tech_events,average_gpa,engagement_score,gpa_cgpa_ratio,academic_performance_index,total_backlogs
cse,0.9121212121212121,0.6448362720403027,male,cbse,cbse,obc,0.03756890049318247,67894.0,1.0,0.7339743589743588,0.0,0.0,0.03664445790430042,0.048138639281129644,0.038676470588235284,0.03848167539267014,0.798095238095238,1,1,1,1,0,0,0.042949965126096695,0.2571428571428571,0.018142220752619967,0.5263443886076175,0.0
cse,0.6923076923076925,0.15617128463476093,male,cbse,cbse,gen,0.008558166521612995,18985.0,0.13032258064516133,0.20192307692307687,0.0,8.0,0.0063597819503331265,0.02086007702182284,0.019558823529411767,0.012303664921465965,0.38095238095238093,1,1,1,1,0,0,0.009214052347564311,0.2571428571428571,0.013069181229824006,0.1403217964072144,8.0
cse,0.7668997668997668,0.5289672544080606,male,cbse,bseb,gen,0.010298810559907168,25716.0,0.2526487960018174,0.22115384615384648,0.0,8.0,0.00893397940642035,0.01989730423620026,0.01970588235294117,0.012303664921465965,0.5123809523809524,1,1,1,1,0,0,0.012187511471678722,0.6,0.01407683732455281,0.1554711915608821,8.0
cse,0.6317016317016317,0.19647355163727953,male,icse,cbse,gen,0.014505366985784737,40842.0,0.5275420263516584,0.19551282051282048,0.0,7.0,0.008025439127801334,0.022946084724005125,0.02735294117647058,0.0119109947643979,0.3695238095238096,1,1,1,1,0,0,0.011710289636944274,0.34285714285714286,0.020174236546415245,0.1376513580855816,7.0
cse,0.8228438228438231,0.6599496221662469,female,cbse,cbse,obc,0.03249202204815782,33700.0,0.39774647887323955,0.6634615384615385,0.0,0.0,0.027710478497880067,0.04717586649550705,0.03779411764705881,0.03599476439790575,0.7866666666666664,1,1,1,1,0,0,0.03942586542344259,0.34285714285714286,0.016443502750847175,0.47583083135274085,0.0
cse,0.28671328671328666,0.11410579345088179,male,icse,bseb,obc,0.03423266608645198,48292.0,0.662935029532031,0.6314102564102566,0.0,0.0,0.029527559055118113,0.03498074454428754,0.038676470588235284,0.03272251308900523,0.798095238095238,1,1,1,1,0,0,0.03659924378693877,0.39999999999999997,0.01945947635335829,0.4520345013631149,0.0
cse,0.6037296037296036,0.6599496221662469,male,uttar pradesh board,cbse,gen,0.021467943138961415,32024.0,0.36728759654702414,0.24358974358974383,0.0,3.0,0.020593579648697763,0.026797175866495507,0.023235294117647062,0.01060209424083769,0.31047619047619057,1,1,1,1,1,0,0.013105245769244864,0.2571428571428571,0.025417830199489344,0.17140479617658366,3.0
cse,0.8694638694638694,0.6347607052896727,male,cbse,cbse,gen,0.019727299100667256,26102.0,0.25966378918673333,0.20833333333333326,0.0,2.0,0.00893397940642035,0.017971758664955068,0.018823529411764697,0.016361256544502614,0.4285714285714284,1,1,1,1,0,0,0.011049520942696678,0.5142857142857142,0.02541091699085761,0.14594765038595156,2.0
cse,0.9361305361305363,0.9075566750629724,male,icse,isc,gen,0.041050188569770815,17565.0,0.10451612903225804,0.7211538461538465,0.0,0.0,0.03210175651120532,0.03690629011553273,0.04044117647058823,0.04005235602094241,0.8457142857142856,1,1,1,1,0,0,0.041077787159061685,0.5142857142857142,0.021852853310268414,0.5163199295247037,0.0
cse,0.9580419580419579,0.8564231738035264,male,cbse,cbse,gen,0.025674499564839,20988.0,0.1667242162653339,0.4711538461538465,0.0,0.0,0.018776499091459717,0.02936456996148909,0.03352941176470586,0.03599476439790575,0.56,1,1,1,1,0,0,0.02775228515840092,0.2571428571428571,0.018376330559531265,0.33665946035246813,0.0
